Player_Name,Position_ID,Shots,Makes,Pass,Accuracy,Personal_Rating,Goals,Assists,Fouls,Yellow_Card,Red_Card,Years_Pro,Team_Value
Dennis Larry,4,3.210000,0.650000,81.490000,39.850000,5.940000,20,21,68,12,0,11,rotation
Mike Ethan,5,5.110000,0.590000,83.590000,88.080000,4.170000,19,11,17,14,2,1,rotation
Nikolai Fedorov,4,4.240000,0.420000,48.490000,35.040000,6.730000,3,2,20,7,0,3,rotation
Matvey Vasiliev,0,4.260000,0.790000,70.490000,60.460000,7.530000,8,6,44,0,1,6,rotation
Joseph Robert,2,2.270000,0.430000,28.240000,86.930000,6.460000,11,5,4,5,0,0,future
Amir Ibragimov,3,1.330000,0.350000,55.820000,68.720000,8.620000,23,12,37,0,0,4,rotation
Nurislam Ibraev,2,2.120000,0.570000,104.130000,91.920000,4.100000,9,19,15,5,0,5,rotation
Erasyl Omarov,3,4.260000,0.380000,35.440000,83.360000,5.920000,23,22,14,6,1,13,rotation
Scott Peter,3,4.740000,0.530000,72.260000,73.240000,9.330000,6,14,4,11,0,6,rotation
Alinur Sultanov,0,4.390000,0.630000,44.480000,67.420000,4.350000,7,9,69,2,2,12,rotation
Yuri Volkov,8,5.170000,0.650000,97.740000,36.430000,6.870000,24,3,67,5,0,8,rotation
Aleksandr Sokolov,3,5.400000,0.420000,71.790000,46.770000,9.230000,13,14,34,6,2,11,rotation
Aleksandr Petrov,4,3.330000,0.760000,73.430000,53.340000,6.050000,18,4,22,8,0,4,rotation
John Dustin,7,3.010000,0.620000,49.150000,78.710000,8.680000,2,10,43,5,2,13,rotation
Paul Robert,9,2.200000,0.360000,34.210000,56.240000,6.900000,5,11,61,0,3,11,rotation
Omar Aliev,8,4.580000,0.480000,19.220000,92.530000,5.040000,6,9,28,4,3,13,rotation
Ramazan Smagulov,4,5.000000,0.490000,68.510000,87.920000,9.390000,20,9,53,14,1,8,rotation
Alexei Nikitin,4,5.390000,0.650000,16.470000,74.910000,7.410000,12,13,42,9,4,13,rotation
Lev Volkov,10,4.870000,0.360000,78.120000,45.970000,5.120000,15,22,60,5,1,2,rotation
Omar Omarov,6,3.220000,0.720000,100.170000,58.590000,6.510000,2,5,23,6,1,1,rotation
Andrei Petrov,1,5.170000,0.770000,86.220000,65.330000,7.200000,2,10,32,14,3,10,rotation
James Charles,9,1.400000,0.470000,60.620000,72.820000,5.800000,18,20,67,1,4,8,rotation
Daniil Nikitin,5,4.880000,0.330000,92.490000,98.320000,9.120000,17,21,59,11,3,0,future
Nurislam Amangeldi,2,0.760000,0.680000,87.510000,42.690000,4.780000,1,11,56,4,1,8,rotation
Erasyl Suleimenov,0,4.160000,0.240000,48.940000,41.710000,5.820000,23,13,9,1,0,1,rotation
Robert Ethan,10,5.280000,0.730000,106.100000,37.860000,9.750000,9,7,50,9,4,0,future
Arsen Omarov,8,2.790000,0.710000,84.010000,49.870000,7.600000,13,23,12,13,3,7,rotation
Ronald Andrew,5,2.680000,0.590000,45.910000,36.560000,4.870000,1,11,25,0,4,11,rotation
Sanzhar Ibraev,0,2.230000,0.260000,86.350000,46.480000,6.850000,16,4,38,5,1,3,rotation
Dmitri Nikitin,1,2.110000,0.800000,34.890000,83.670000,9.130000,10,2,40,1,0,1,rotation
Mark Morozov,8,1.280000,0.610000,56.540000,48.240000,4.270000,2,16,23,5,4,7,rotation
Nurislam Ibraev,5,0.550000,0.700000,50.280000,92.160000,6.070000,22,7,66,8,2,9,rotation
Boris Orlov,4,3.790000,0.400000,41.300000,50.580000,9.630000,7,2,32,1,4,8,rotation
Muslim Akhmetov,9,3.030000,0.450000,43.740000,77.340000,6.560000,11,24,10,13,3,0,future
Aldiyar Aliev,5,1.180000,0.560000,40.380000,77.570000,7.800000,20,16,30,13,2,3,superstar
Alinur Ibraev,2,5.210000,0.590000,13.390000,76.010000,5.130000,2,12,69,10,4,1,rotation
Jose Brandon,1,4.740000,0.250000,103.450000,77.870000,7.960000,19,7,58,10,4,10,rotation
Jerry Paul,7,4.080000,0.480000,108.340000,33.200000,4.510000,17,3,42,10,0,9,rotation
Michael Andrew,6,4.360000,0.560000,54.890000,95.810000,5.980000,5,11,28,7,2,12,rotation
Mark Stepanov,7,0.940000,0.240000,22.880000,53.080000,6.370000,14,23,1,4,1,8,rotation
Andrei Makarov,5,3.320000,0.700000,78.760000,46.150000,7.420000,20,23,39,7,3,13,superstar
Erasyl Aliev,5,2.310000,0.310000,92.820000,64.350000,7.240000,7,3,36,9,4,6,rotation
Robert Richard,5,5.060000,0.340000,66.500000,79.490000,6.610000,21,19,50,1,4,11,rotation
Douglas Henry,7,1.940000,0.700000,79.430000,70.420000,8.070000,6,17,61,5,4,11,rotation
Gary Jerry,3,1.380000,0.450000,78.610000,43.440000,4.300000,3,13,29,13,0,4,rotation
Joshua Tyler,4,5.170000,0.420000,20.650000,58.780000,6.160000,18,16,50,12,3,12,rotation
Jack James,9,3.120000,0.330000,81.770000,33.740000,4.060000,2,9,69,9,0,7,rotation
Alexei Morozov,8,0.660000,0.300000,18.060000,78.900000,7.950000,20,18,1,12,2,14,superstar
Igor Pavlov,2,2.210000,0.790000,60.880000,84.350000,6.750000,9,7,17,9,4,5,rotation
Mikhail Kozlov,3,2.260000,0.630000,47.620000,41.950000,9.360000,4,8,5,7,4,12,rotation
Walter Nathan,1,0.750000,0.430000,109.030000,32.900000,4.760000,11,13,54,14,4,5,rotation
Arsen Smagulov,6,2.390000,0.380000,53.700000,78.030000,6.890000,5,11,59,14,1,5,rotation
Pasha Andreev,5,2.470000,0.360000,50.220000,36.750000,4.190000,11,17,58,6,3,9,rotation
Joseph Raymond,10,4.380000,0.660000,75.290000,88.960000,4.820000,0,12,67,10,4,4,rotation
Mark Morozov,9,4.070000,0.690000,68.990000,51.600000,5.170000,16,10,11,14,4,11,main
Joseph Samuel,3,2.750000,0.220000,106.910000,77.720000,6.280000,22,0,62,14,3,3,rotation
Islam Serik,2,4.790000,0.330000,64.670000,88.720000,7.390000,7,22,20,9,0,7,rotation
Matvey Fedorov,0,4.090000,0.540000,65.960000,78.750000,4.180000,14,24,59,5,2,11,rotation
Matvey Zakharov,4,4.850000,0.620000,32.800000,41.370000,4.990000,14,13,59,2,4,11,rotation
Jacob Edward,5,4.930000,0.260000,86.570000,47.510000,8.520000,3,15,13,11,1,7,rotation
Nurislam Kusainov,1,3.740000,0.560000,28.570000,77.640000,9.080000,6,11,31,13,1,7,rotation
Omar Sultanov,1,4.980000,0.330000,20.020000,91.930000,6.830000,7,2,21,6,4,1,rotation
Martin Ethan,0,0.700000,0.760000,90.570000,82.360000,7.810000,0,1,42,13,2,14,rotation
Benjamin Walter,2,3.300000,0.740000,106.470000,70.010000,6.880000,20,22,30,3,4,4,rotation
Maxim Stepanov,5,5.320000,0.320000,45.050000,80.460000,6.340000,10,21,52,7,0,13,rotation
Alikhan Serik,8,3.670000,0.300000,16.330000,72.910000,7.650000,21,24,50,1,1,4,superstar
Daniil Semenov,0,4.810000,0.710000,62.160000,83.120000,8.800000,21,9,15,13,2,11,rotation
Anatoly Andreev,9,4.510000,0.580000,93.140000,33.570000,8.700000,19,13,11,12,4,6,rotation
Igor Kozlov,1,2.530000,0.240000,97.600000,73.540000,9.680000,22,0,43,14,4,0,future
Aldiyar Iskakov,5,2.860000,0.220000,62.250000,81.930000,4.860000,22,17,54,8,3,0,future
Ibrahim Akhmetov,4,4.630000,0.550000,63.270000,68.350000,6.040000,21,14,39,2,2,6,rotation
Yuri Orlov,1,5.180000,0.750000,28.730000,84.450000,7.670000,9,12,13,9,3,7,rotation
Aisultan Abdrakhmanov,0,1.340000,0.220000,24.670000,92.610000,7.200000,20,19,23,1,3,10,superstar
Alexander Brandon,2,3.670000,0.620000,65.710000,79.520000,4.850000,8,2,63,6,3,14,rotation
Aisultan Iskakov,2,1.610000,0.530000,22.730000,71.020000,5.510000,10,16,22,14,4,2,rotation
Erasyl Kusainov,10,0.890000,0.530000,12.510000,48.610000,7.210000,12,1,30,1,4,6,rotation
Joshua James,5,2.730000,0.260000,89.100000,37.040000,9.240000,16,23,52,10,4,0,future
Erasyl Abdrakhmanov,8,3.030000,0.240000,25.180000,84.090000,8.670000,2,12,54,2,4,14,rotation
Islam Omarov,6,1.750000,0.670000,39.170000,69.620000,6.970000,0,5,50,9,2,3,rotation
Tyler Benjamin,6,3.410000,0.680000,83.280000,83.160000,7.900000,15,18,17,6,4,0,future
James George,2,0.970000,0.500000,76.230000,58.570000,8.200000,16,20,2,12,3,10,rotation
Ibrahim Ibragimov,8,5.270000,0.590000,84.010000,44.410000,8.550000,17,0,56,2,3,6,rotation
Daniil Zakharov,0,4.640000,0.500000,69.510000,45.550000,9.500000,12,17,52,10,2,0,future
Nikolai Sokolov,7,4.270000,0.540000,92.940000,69.570000,4.810000,3,1,19,14,4,6,rotation
Maxim Andreev,5,3.640000,0.540000,15.480000,36.610000,9.230000,6,0,9,8,2,5,rotation
Artem Kuznetsov,1,3.530000,0.270000,40.510000,95.440000,5.030000,0,10,30,7,2,4,rotation
Boris Andreev,1,4.160000,0.610000,84.840000,38.090000,5.210000,22,19,45,10,2,4,rotation
Gary Douglas,5,3.820000,0.790000,74.540000,79.270000,7.450000,24,2,1,10,0,8,rotation
Justin Mike,10,3.810000,0.780000,91.780000,72.060000,5.380000,17,0,58,9,3,3,rotation
Yuri Petrov,4,0.880000,0.490000,73.880000,84.570000,5.070000,4,20,3,6,1,1,rotation
Amir Ibragimov,1,1.730000,0.450000,27.600000,74.310000,4.190000,22,10,38,4,4,4,rotation
Alexei Andreev,2,3.370000,0.510000,69.950000,83.840000,4.320000,12,8,42,0,2,1,rotation
Ali Kaliyev,4,4.200000,0.560000,61.540000,65.970000,9.340000,2,5,42,1,0,1,rotation
Richard Matthew,2,1.070000,0.470000,27.640000,37.150000,9.090000,14,5,11,3,3,7,rotation
Paul Henry,7,3.960000,0.510000,14.770000,61.440000,7.260000,11,24,3,10,1,7,rotation
David Jack,2,1.740000,0.730000,108.320000,86.490000,4.550000,1,22,65,4,3,7,rotation
Omar Ibraev,2,1.570000,0.800000,14.090000,94.340000,5.780000,8,17,50,14,1,5,rotation
Jose John,6,2.500000,0.210000,34.070000,78.850000,6.170000,23,7,56,13,4,12,rotation
Ali Kusainov,5,0.980000,0.800000,51.490000,60.960000,6.670000,23,19,8,4,0,1,rotation
Thomas Andrew,8,1.990000,0.470000,48.730000,56.460000,4.980000,0,3,66,8,4,9,rotation
Nathan Walter,1,5.240000,0.430000,44.480000,68.580000,8.800000,7,21,44,14,2,0,future
Muslim Sadykov,4,3.290000,0.510000,44.070000,35.060000,5.610000,15,5,15,13,1,13,rotation
Lev Petrov,1,1.820000,0.800000,71.300000,43.100000,5.010000,22,24,46,13,4,9,rotation
Amir Sultanov,6,3.520000,0.350000,79.540000,76.270000,7.270000,14,13,32,4,2,13,rotation
Muslim Sadykov,2,3.790000,0.780000,71.120000,71.160000,5.820000,19,0,58,5,2,6,rotation
Steven Daniel,10,1.280000,0.480000,107.330000,82.940000,7.190000,4,18,57,12,1,2,rotation
Rodion Morozov,3,2.800000,0.700000,21.430000,88.000000,8.800000,16,14,68,5,2,11,rotation
Omar Akhmetov,5,2.110000,0.240000,88.050000,32.870000,9.370000,14,11,6,7,4,13,rotation
Lev Alekseev,9,4.230000,0.350000,14.120000,92.990000,8.500000,23,15,53,14,2,0,future
Michael Jose,8,1.670000,0.380000,62.520000,83.870000,5.960000,3,16,53,5,0,2,rotation
Joshua Steven,5,1.400000,0.340000,83.240000,98.820000,4.320000,7,12,63,12,4,10,rotation
Andrei Pavlov,5,3.220000,0.430000,73.520000,95.730000,5.580000,0,4,21,9,0,4,rotation
Daniel Raymond,4,1.690000,0.310000,52.720000,41.500000,8.610000,24,9,4,13,3,0,future
Raymond Kevin,7,2.580000,0.340000,11.710000,71.110000,6.990000,16,4,37,2,3,12,rotation
Joshua Samuel,10,4.610000,0.480000,36.430000,84.220000,6.640000,11,24,38,0,4,8,rotation
Nikita Nikitin,4,3.920000,0.290000,43.740000,94.520000,8.900000,3,7,28,10,4,0,future
Alexander Jose,5,1.240000,0.340000,25.570000,73.780000,8.350000,19,16,64,1,4,14,superstar
Jose Henry,5,4.560000,0.540000,52.000000,81.390000,5.260000,13,16,47,6,0,5,rotation
Nikolai Nikitin,8,4.480000,0.430000,31.650000,96.330000,4.750000,3,20,9,3,0,2,rotation
Ali Suleimenov,5,4.650000,0.490000,106.480000,57.370000,5.440000,9,24,31,1,4,6,rotation
Dmitri Egorov,7,4.500000,0.410000,66.340000,60.700000,5.690000,23,24,0,14,1,12,rotation
Aldiyar Aliev,0,2.150000,0.470000,105.920000,49.770000,7.360000,2,18,28,14,2,6,rotation
Mark Mark,2,3.730000,0.230000,67.330000,53.080000,7.410000,22,15,9,6,1,8,rotation
Leonid Nikolaev,4,3.590000,0.370000,57.690000,54.200000,5.890000,16,5,60,13,2,8,rotation
Matthew Mike,2,1.930000,0.780000,20.860000,48.770000,8.150000,22,1,59,13,0,12,rotation
Edward William,5,2.970000,0.440000,78.160000,41.480000,7.220000,0,15,13,12,0,1,rotation
Joseph David,7,1.510000,0.690000,29.370000,51.370000,4.870000,11,16,34,14,4,9,rotation
Mark Stepanov,5,3.050000,0.570000,79.620000,96.150000,6.140000,9,22,15,8,3,14,rotation
Aisultan Kaliyev,1,4.050000,0.380000,42.720000,32.330000,6.010000,3,13,9,13,4,5,rotation
John Henry,10,2.320000,0.500000,35.430000,73.240000,7.970000,3,4,36,10,0,12,rotation
Ramazan Omarov,5,2.980000,0.580000,29.290000,98.650000,5.360000,9,10,69,0,0,8,main
Ramazan Aliev,7,2.430000,0.570000,94.030000,42.510000,4.160000,5,0,34,14,1,3,rotation
Alexander Thomas,4,5.030000,0.610000,94.560000,37.710000,7.390000,15,17,36,11,0,11,rotation
Omar Ibragimov,9,3.190000,0.420000,16.320000,35.450000,6.620000,21,10,12,6,2,14,rotation
Muslim Iskakov,6,0.790000,0.560000,42.660000,68.330000,7.120000,12,18,19,9,3,8,rotation
Aisultan Akhmetov,10,5.400000,0.430000,95.730000,70.530000,9.690000,14,10,4,14,4,2,rotation
Aleksandr Nikolaev,0,3.180000,0.300000,42.620000,49.960000,6.850000,8,9,44,4,1,8,rotation
Mark Novikov,1,3.320000,0.450000,102.770000,92.110000,6.640000,18,15,59,4,2,9,rotation
Pasha Andreev,7,3.590000,0.210000,70.590000,38.140000,6.570000,19,23,68,7,3,8,rotation
Lev Fedorov,3,4.020000,0.780000,28.170000,84.620000,7.900000,14,19,39,9,0,10,rotation
Amir Sadykov,6,2.850000,0.800000,16.790000,89.530000,8.870000,11,17,13,7,3,13,rotation
Aldiyar Kusainov,8,2.760000,0.710000,30.850000,79.060000,7.250000,15,7,39,12,0,6,rotation
Artem Andreev,6,3.610000,0.370000,50.200000,79.920000,5.470000,3,11,54,0,3,10,rotation
Artem Egorov,3,4.560000,0.310000,23.470000,76.340000,7.160000,5,16,18,0,0,5,rotation
Henry Nathan,2,1.030000,0.540000,40.380000,44.100000,8.310000,21,10,23,6,4,3,rotation
Nurislam Kusainov,6,5.020000,0.290000,67.490000,48.850000,7.490000,19,21,45,6,4,6,superstar
Sanzhar Bolat,1,2.170000,0.220000,82.580000,97.920000,6.230000,12,1,30,7,3,1,rotation
Omar Sultanov,0,2.230000,0.560000,81.920000,69.400000,9.710000,6,2,59,7,2,0,future
Boris Fedorov,4,3.010000,0.250000,84.850000,89.090000,8.660000,15,12,32,6,4,9,rotation
Peter Matthew,9,3.550000,0.240000,107.020000,52.960000,9.340000,19,22,28,11,1,12,superstar
Amir Aliev,10,4.960000,0.300000,42.810000,81.470000,9.210000,0,18,25,4,2,8,rotation
Yuri Makarov,9,1.180000,0.720000,109.640000,67.930000,9.600000,18,1,31,8,4,9,rotation
Walter Dustin,4,1.280000,0.500000,14.220000,88.350000,9.670000,4,12,25,8,1,1,rotation
Omar Amangeldi,1,5.260000,0.480000,28.600000,49.620000,4.920000,0,13,64,11,2,6,rotation
Amir Omarov,9,3.550000,0.710000,67.380000,77.150000,7.330000,19,24,19,6,0,13,superstar
Daniil Pavlov,8,3.230000,0.470000,69.540000,80.080000,4.310000,15,8,8,3,0,6,rotation
Ryan Peter,2,2.730000,0.350000,104.480000,55.290000,4.600000,23,17,49,13,2,0,future
Anatoly Egorov,3,1.110000,0.460000,39.280000,61.970000,7.130000,24,7,49,3,0,1,rotation
Islam Murat,3,2.630000,0.600000,28.070000,85.740000,4.310000,10,17,63,7,4,14,rotation
Joshua Nathan,10,1.980000,0.460000,90.220000,41.700000,9.230000,21,3,9,0,3,2,rotation
Yuri Stepanov,9,1.410000,0.620000,47.930000,93.920000,9.600000,24,1,53,8,2,9,rotation
Aleksandr Smirnov,1,2.930000,0.780000,81.950000,64.160000,5.880000,1,6,8,2,3,12,rotation
Larry Joshua,5,4.440000,0.420000,51.300000,86.200000,9.390000,5,14,17,0,1,0,future
Arsen Ospanov,5,1.060000,0.620000,104.990000,76.730000,8.740000,4,4,62,6,3,10,rotation
Aisultan Kusainov,7,2.970000,0.610000,98.700000,72.650000,7.060000,4,20,32,6,0,2,rotation
Aisultan Ibraev,2,3.850000,0.340000,105.700000,67.820000,6.150000,22,22,47,5,3,7,rotation
Paul William,3,3.910000,0.350000,62.310000,45.500000,5.700000,24,22,53,4,3,10,rotation
Andrei Mikhaylov,7,0.690000,0.470000,19.310000,42.710000,5.610000,16,23,36,9,0,0,future
Andrei Popov,4,3.240000,0.450000,106.780000,88.260000,5.240000,13,23,69,13,2,12,rotation
Anatoly Fedorov,4,3.710000,0.800000,10.990000,50.020000,8.460000,8,21,4,1,1,4,rotation
Omar Ibraev,2,5.440000,0.560000,94.790000,46.110000,8.050000,16,1,13,1,2,7,rotation
Sanzhar Akhmetov,2,3.390000,0.560000,74.040000,40.420000,9.350000,13,2,56,10,0,11,rotation
Mark Kuznetsov,4,3.110000,0.500000,15.710000,69.810000,8.830000,24,5,58,9,3,1,rotation
Peter James,9,4.210000,0.360000,21.510000,85.020000,4.730000,15,16,21,2,2,8,rotation
Erasyl Ibragimov,5,3.540000,0.780000,27.170000,98.930000,5.060000,18,6,45,12,4,1,rotation
Aldiyar Kusainov,5,1.700000,0.310000,13.750000,88.610000,6.100000,16,4,20,10,3,6,rotation
Alikhan Omarov,2,2.740000,0.390000,86.920000,65.850000,8.880000,9,11,40,10,4,5,rotation
Anthony Ryan,0,2.420000,0.770000,31.080000,60.340000,9.200000,10,7,21,0,2,7,rotation
Daniil Popov,9,5.470000,0.330000,101.740000,56.260000,5.670000,24,23,17,9,3,3,rotation
Viktor Fedorov,8,3.020000,0.610000,87.810000,65.040000,6.290000,7,1,25,4,0,13,rotation
Aisultan Ibraev,2,4.070000,0.730000,27.950000,93.850000,6.660000,15,16,16,4,1,4,rotation
Maxim Nikitin,9,2.000000,0.450000,17.150000,51.180000,8.530000,19,1,3,13,0,6,rotation
Muslim Aliev,8,4.290000,0.790000,41.120000,63.180000,5.850000,4,10,30,4,3,13,rotation
Dmitri Volkov,6,4.940000,0.730000,87.000000,75.660000,8.690000,22,8,66,4,2,13,rotation
James Larry,2,2.000000,0.640000,67.740000,32.990000,6.040000,19,11,0,5,3,0,future
Ronald Tyler,0,4.010000,0.350000,90.790000,38.660000,7.560000,21,20,26,2,0,11,superstar
Alinur Ospanov,5,4.490000,0.510000,58.010000,34.740000,5.530000,5,22,42,14,3,4,rotation
Henry Daniel,10,2.600000,0.490000,109.610000,39.410000,4.450000,19,12,5,4,1,6,rotation
Andrew Robert,3,0.900000,0.350000,105.650000,89.740000,6.060000,11,21,7,0,3,1,rotation
James Daniel,10,1.740000,0.440000,83.770000,46.440000,8.320000,19,24,35,1,1,0,future
Omar Ospanov,9,2.830000,0.400000,26.420000,82.870000,7.350000,2,2,25,10,3,8,rotation
Alexander Martin,3,2.550000,0.490000,57.590000,58.170000,7.040000,24,15,26,5,4,1,rotation
Joseph Michael,7,4.060000,0.750000,93.960000,76.320000,4.530000,20,23,42,10,3,13,rotation
Sanzhar Kusainov,0,5.470000,0.620000,78.470000,70.300000,5.780000,5,3,51,8,3,14,rotation
Alexander Michael,0,2.030000,0.480000,80.300000,73.970000,7.920000,3,8,13,2,4,11,rotation
Islam Ibragimov,2,3.530000,0.220000,73.250000,75.530000,9.510000,19,24,15,6,2,14,superstar
Arsen Ospanov,9,4.490000,0.540000,98.740000,49.930000,5.670000,19,13,55,10,1,2,rotation
William James,7,2.040000,0.640000,71.220000,98.310000,5.780000,0,2,19,0,1,7,rotation
Ibrahim Ospanov,4,3.630000,0.780000,61.980000,49.560000,4.410000,6,0,48,4,2,1,rotation
William Jacob,1,3.550000,0.330000,33.570000,97.940000,4.730000,16,18,14,9,4,11,rotation
Alikhan Murat,4,2.830000,0.230000,86.650000,73.970000,4.810000,22,20,39,12,4,6,rotation
Ivan Semenov,6,0.750000,0.390000,36.720000,52.870000,6.580000,16,9,9,12,0,13,main
Aisultan Kaliyev,9,2.080000,0.760000,37.020000,53.730000,8.580000,13,14,10,8,0,2,rotation
Ibrahim Sadykov,6,5.370000,0.800000,75.490000,85.240000,8.130000,6,3,12,5,2,8,rotation
Ali Sultanov,1,4.790000,0.750000,39.920000,49.120000,7.840000,13,1,14,8,4,6,rotation
Erasyl Iskakov,9,4.890000,0.570000,18.200000,95.450000,6.680000,22,8,38,4,4,7,rotation
Islam Ibragimov,10,3.860000,0.660000,80.000000,71.070000,7.810000,21,16,14,12,2,0,future
Nikolai Pavlov,10,4.230000,0.450000,97.280000,32.190000,9.370000,4,18,39,11,1,1,rotation
Luka Mikhaylov,8,1.430000,0.500000,46.150000,36.170000,8.330000,17,16,48,10,1,6,rotation
Ramazan Sadykov,9,0.970000,0.720000,99.330000,92.620000,5.440000,3,23,61,13,0,8,rotation
Alinur Suleimenov,4,1.730000,0.460000,50.030000,52.470000,4.080000,7,10,25,10,1,14,rotation
Islam Suleimenov,0,4.620000,0.780000,26.310000,90.430000,6.240000,12,3,5,12,3,5,rotation
Luka Ivanov,5,4.840000,0.760000,24.280000,90.230000,4.770000,17,6,27,3,3,11,rotation
Joshua George,8,3.780000,0.360000,51.300000,43.090000,9.850000,23,12,53,9,1,1,rotation
Larry Peter,2,2.350000,0.380000,29.520000,66.190000,9.500000,6,6,38,9,1,1,rotation
Ramazan Ospanov,0,2.420000,0.510000,12.960000,68.300000,8.450000,19,12,41,9,4,7,rotation
Joshua Alexander,8,4.910000,0.550000,93.550000,46.960000,7.240000,12,2,47,3,2,1,rotation
Lev Sokolov,1,4.190000,0.520000,33.540000,32.140000,7.600000,12,8,50,7,4,11,rotation
Scott Alexander,1,5.370000,0.210000,95.030000,58.080000,8.630000,15,12,13,14,1,6,rotation
Lev Sokolov,0,5.270000,0.640000,76.560000,32.760000,8.080000,24,1,61,4,0,4,rotation
Rodion Sokolov,8,3.720000,0.270000,17.410000,70.570000,9.460000,8,14,28,9,2,13,rotation
Erasyl Omarov,8,2.020000,0.770000,64.550000,55.000000,4.190000,15,20,32,12,4,0,future
Amir Murat,9,2.420000,0.720000,73.340000,44.790000,5.710000,11,15,41,11,1,14,rotation
Artem Lebedev,6,1.870000,0.310000,93.910000,96.450000,5.250000,12,2,31,6,2,3,rotation
Valentin Egorov,4,0.750000,0.730000,107.640000,39.300000,4.580000,3,0,17,8,2,1,rotation
Charles Jack,6,3.130000,0.740000,35.260000,93.420000,7.790000,20,2,65,5,1,11,rotation
Muslim Sultanov,4,4.330000,0.360000,104.240000,97.960000,9.020000,15,24,27,8,2,3,rotation
Leonid Vasiliev,0,0.760000,0.210000,22.700000,91.280000,8.310000,5,22,40,11,0,0,future
Igor Alekseev,1,3.220000,0.390000,92.160000,56.560000,7.940000,21,20,35,6,4,12,superstar
Alikhan Smagulov,2,0.990000,0.450000,79.470000,47.140000,4.270000,15,15,16,11,2,0,future
Thomas Jacob,8,3.300000,0.230000,46.060000,91.590000,6.650000,17,4,48,13,0,4,rotation
Alexander Walter,0,0.830000,0.580000,84.050000,75.180000,6.840000,1,0,18,14,3,8,rotation
Muslim Sultanov,5,3.020000,0.760000,43.190000,37.160000,9.600000,3,3,26,5,1,0,future
Yuri Kozlov,9,3.850000,0.440000,82.340000,70.080000,5.750000,1,14,66,4,4,9,rotation
Steven George,7,1.040000,0.460000,88.300000,58.690000,7.480000,5,9,23,12,4,6,rotation
Ivan Alekseev,7,0.890000,0.260000,97.560000,77.190000,6.880000,21,22,41,12,2,10,rotation
Sanzhar Murat,9,2.710000,0.330000,44.090000,97.710000,7.690000,0,6,31,12,0,14,rotation
Nikolai Stepanov,2,3.470000,0.420000,25.160000,96.580000,5.490000,6,18,42,1,4,12,rotation
Luka Fedorov,2,5.040000,0.740000,95.130000,85.950000,9.680000,6,18,15,5,0,8,rotation
Michael Justin,6,4.480000,0.480000,33.680000,45.460000,8.760000,4,13,58,0,2,1,rotation
Douglas Ethan,3,5.080000,0.720000,61.080000,78.040000,4.960000,17,13,55,11,1,10,rotation
Michael Justin,3,3.750000,0.600000,86.460000,60.020000,7.970000,11,4,37,0,2,13,rotation
Andrei Mikhaylov,5,1.140000,0.430000,85.900000,37.550000,8.230000,2,23,65,5,2,9,rotation
Maxim Vasiliev,5,3.590000,0.430000,101.850000,48.780000,8.930000,1,12,12,8,1,1,rotation
Maxim Sokolov,1,5.160000,0.740000,15.120000,47.160000,6.530000,13,7,2,12,3,5,rotation
Tyler Benjamin,5,2.720000,0.300000,70.600000,56.990000,9.200000,15,0,2,10,2,5,rotation
Erasyl Suleimenov,7,3.570000,0.740000,104.770000,46.950000,9.350000,0,7,5,5,0,6,rotation
Nikita Pavlov,7,2.590000,0.410000,18.910000,67.410000,6.000000,8,2,10,2,1,8,rotation
Anatoly Ivanov,2,1.830000,0.510000,102.620000,87.080000,5.340000,13,14,37,14,2,9,main
Mark Kuznetsov,5,2.510000,0.660000,72.110000,87.510000,8.930000,9,19,4,0,4,1,rotation
Muslim Suleimenov,3,3.740000,0.460000,58.820000,85.980000,8.880000,9,2,35,9,2,6,rotation
Sanzhar Aliev,10,2.210000,0.250000,25.210000,90.410000,5.030000,9,10,36,10,3,5,main
Matvey Mikhaylov,10,1.920000,0.550000,61.690000,64.520000,7.780000,4,18,42,9,2,13,rotation
Leonid Kuznetsov,7,0.920000,0.530000,96.940000,87.550000,9.540000,8,8,0,14,1,9,rotation
Andrei Sokolov,0,4.090000,0.380000,28.240000,55.720000,7.010000,11,1,2,4,0,8,rotation
Sanzhar Akhmetov,10,3.940000,0.600000,15.070000,53.520000,8.590000,17,10,66,14,4,4,rotation
Pasha Vasiliev,0,5.180000,0.580000,106.320000,63.730000,8.680000,8,14,53,4,3,9,rotation
Martin Jack,9,3.100000,0.710000,65.880000,46.950000,5.100000,7,11,49,7,4,6,rotation
Valentin Kuznetsov,5,1.530000,0.630000,98.980000,96.130000,6.120000,21,23,54,2,2,14,rotation
Ramazan Omarov,2,1.180000,0.520000,68.920000,50.460000,7.280000,0,14,51,5,4,3,rotation
Alikhan Iskakov,4,5.350000,0.600000,106.910000,98.410000,6.910000,23,18,1,9,1,1,rotation
Alikhan Sultanov,3,3.860000,0.580000,42.870000,73.190000,7.300000,3,24,22,10,1,11,rotation
Artem Novikov,10,3.860000,0.370000,102.840000,96.340000,6.990000,17,18,4,7,3,8,rotation
Douglas Henry,1,2.720000,0.800000,58.260000,96.020000,9.330000,22,13,33,1,1,6,rotation
Aisultan Iskakov,9,3.670000,0.310000,35.720000,75.740000,4.970000,23,14,35,6,1,4,rotation
Jacob Michael,7,1.690000,0.480000,42.580000,37.140000,7.930000,16,11,37,11,2,11,rotation
Alikhan Iskakov,2,2.610000,0.640000,102.530000,43.270000,7.970000,3,8,40,2,2,8,rotation
